sys.exec.out.time {s},rkt.dynamics.lonx {degree},rkt.dynamics.latx {degree},rkt.dynamics.alt {m},rkt.dynamics._dvbi {m/s},rkt.dynamics._SBII[0] {1},rkt.dynamics._SBII[1] {1},rkt.dynamics._SBII[2] {1},rkt.dynamics._VBII[0] {1},rkt.dynamics._VBII[1] {1},rkt.dynamics._VBII[2] {1},rkt.dynamics.thtbdx {degree}
                   0,  -120.4899999998737,   34.67960985795174,   78.81367173790932,   382.8936699320171,   92011.48042816727,   5249922.138656872,   3608839.280523416,  -382.8260251690864,    7.09562237095497,   1.203773406960329,   90.00000000029237
                 0.1,  -120.4899999998564,   34.67960985798065,   78.99767948593944,   382.9015675373476,   91973.19905383915,   5249922.917150756,   3608839.448703524,  -382.7994341954502,   8.560223646139859,   2.219498440920403,   89.93091186393606
                 0.2,  -120.4900000046365,    34.6796098584328,   79.37105247750878,   382.9116480674292,   91934.92079738204,    5249923.85103113,   3608839.724671192,  -382.7637273737242,     10.117694521541,   3.300225788766953,   89.69214341241637
                 0.3,  -120.4900000261044,   34.67960986062023,   79.93440292775631,   382.9152625077141,   91896.64683704436,   5249924.940699402,   3608840.108892531,  -382.7120950289884,   11.67581650365786,   4.384733611874013,   89.28195666133793
                 0.4,  -120.4900000873384,    34.6796098667957,   80.68801255244762,   382.9037430139181,   91858.37920202002,    5249926.18621189,   3608840.601729989,  -382.6358300749598,   13.23425199962643,   5.472890545729137,     88.700587988753
                 0.5,  -120.4900002189579,   34.67960988023196,   81.63212982006371,    382.868571198758,   91820.12077925971,   5249927.587519205,   3608841.203618735,  -382.5263947439655,   14.79160901968209,    6.56570168156059,   87.94856105729291
                 0.6,  -120.4900004620862,    34.6796099049558,   82.76694684848189,   382.8037737397989,   91781.87524873992,   5249929.144465129,   3608841.915029341,   -382.377799030352,   16.34690849111495,   7.663327013640458,   87.17851304744791
                 0.7,   -120.490000858163,    34.6796099452399,   84.09260251186788,   382.7118183117897,   91743.64644446486,   5249930.856831725,   3608842.736424258,  -382.1924832430338,   17.90002476225817,   8.765314686313362,   86.48553201851435
                 0.8,  -120.4900014449606,    34.6796100049702,   85.60920515283942,    382.596157166493,   91705.43786422972,   5249932.724405961,   3608843.668213845,  -381.9738673009834,   19.45108036127973,   9.871152439178916,   85.85784314176595
                 0.9,  -120.4900022580268,   34.67961008769995,   87.31684425100684,   382.4599849478613,    91667.2526762325,   5249934.746985771,   3608844.710767922,  -381.7251106945844,   21.00022975574466,   10.98045088926313,   85.29032591822805
                   1,  -120.4900033278847,   34.67961019663624,   89.21559845749289,   382.3060870087273,   91629.09375628829,   5249936.924386907,   3608845.864419051,  -381.4489617237093,   22.54757814601678,   12.09299316042233,   84.77501771188707
                 1.1,  -120.4900046839548,   34.67961033468178,   91.30554236844182,   382.1371022947836,   91590.96371123336,   5249939.256445466,    3608847.12947017,  -381.1480170767818,   24.09334850213724,   13.20850433038226,    84.3140918243419
                 1.2,  -120.4900063511654,    34.6796105044521,   93.58675134927034,   381.9553636298392,    91552.8649047146,   5249941.743020345,   3608848.506198858,   -380.824562445216,   25.63788413185139,   14.32659559191113,   83.89198770182867
                 1.3,  -120.4900083539146,   34.67961070839266,   96.05930460523814,   381.7629418182377,   91514.79948416466,   5249944.383987936,   3608849.994869723,  -380.4806211352447,   27.18134411506862,   15.44717509293353,   83.50936088166213
                 1.4,  -120.4900107126282,   34.67961094866523,   98.72328794840723,   381.5618014940893,   91476.76940122487,   5249947.179251211,   3608851.595725579,  -380.1181075796756,   28.72383096740316,    16.5702801429837,   83.16423867248697
                 1.5,   -120.490013447593,   34.67961122703795,    101.578796217218,   381.3536573510095,   91438.77642707285,   5249950.128748418,   3608853.308978763,  -379.7386748550059,   30.26606377558292,   17.69508908956423,   82.85401007143577
                 1.6,  -120.4900165755293,   34.67961154511006,   104.6259334888309,   381.1401890357331,   91400.82217481206,    5249953.23243869,   3608855.134831731,  -379.3439542312087,   31.80760590623361,   18.82244120561217,   82.57084676852597
                 1.7,  -120.4900201132999,   34.67961190497073,   107.8648142237216,   380.9227892993405,   91362.90810203843,   5249956.490261336,   3608857.073537794,  -378.9352757317479,    33.3489115611918,   19.95189994406018,   82.31451878056085
                 1.8,  -120.4900240746227,   34.67961230763405,   111.2955636261031,   380.7026914607399,   91325.03554736255,   5249959.902234358,   3608859.125258501,  -378.5138066968265,   34.89054097683246,   21.08287398987165,   82.08239467925495
                 1.9,  -120.4900284736712,    34.6796127544374,   114.9183177258819,   380.4812042136945,   91287.20572308829,   5249963.468366335,   3608861.290191263,  -378.0807987588444,   36.43220508607262,   22.21600329365364,    81.8718303054868
                   2,  -120.4900333216527,   34.67961324645265,   118.7332228748128,    380.259396328811,   91249.41973789649,   5249967.188692815,   3608863.568515321,    -377.63725287809,    37.9743212095538,   23.35090284581953,   81.68110810788842
                 2.1,  -120.4900386303919,   34.67961378520781,   122.7404366014525,    380.038393786184,   91211.67858894446,   5249971.063231582,   3608865.960458066,  -377.1842358745482,   39.51651580409064,   24.48832248278679,   81.50865899009014
                 2.2,  -120.4900444089269,    34.6796143719229,   126.9401266342029,   379.8189516180959,   91173.98318672454,   5249975.092029683,   3608868.466224745,  -376.7224273300149,   41.05966013997066,   25.62719383860039,   81.35296371634338
                 2.3,  -120.4900506673761,   34.67961500692679,   131.3324702950194,   379.6019128367274,   91136.33437309742,   5249979.275199463,   3608871.085944885,  -376.2526040515983,   42.60382258841708,    26.7676012102006,   81.21229967435579
                 2.4,  -120.4900574130754,   34.67961569138292,     135.91765417438,   379.3881946536771,    91098.7329029672,    5249983.61280962,   3608873.819829563,  -375.7756233071622,   44.14847099606603,   27.91049407301249,   81.08402293946776
                 2.5,  -120.4900646544538,   34.67961642643068,   140.6958737140521,   379.1784553968856,    91061.1794629612,   5249988.104938789,   3608876.668092811,  -375.2920662945068,   45.69437818870698,    29.0549447687474,   80.96376852709152
                 2.6,  -120.4900723976306,    34.6796172121555,   145.6673319032416,   378.9731727358114,   91023.67469763114,   5249992.751739045,   3608879.630856884,  -374.8023417611379,   47.24184117084172,   30.20064083100384,   80.86302050948514
                 2.7,   -120.490080649799,   34.67961804922658,   150.8322403570637,   378.7730270329961,   90986.21918124355,   5249997.553333856,    3608882.70830231,  -374.3070719088547,   48.79018130627505,   31.34868633386604,   80.76574285493716
                 2.8,  -120.4900894158032,   34.67961893884133,   156.1908161276951,   378.5787491735637,   90948.81344059494,   5250002.509818597,   3608885.900660986,  -373.8069121116097,    50.3398290524344,   32.49866757845754,    80.6797090826217
                 2.9,  -120.4900987019189,   34.67961988110878,   161.7432838352397,   378.3903587400746,   90911.45796641819,    5250007.62136418,   3608889.208069882,    -373.30181274467,    51.8913978407335,   33.64971053546292,   80.60343654254062
                   3,  -120.4901085121071,   34.67962087619419,   167.4898744700477,   378.2088871085418,   90874.15320584238,   5250012.888143919,   3608892.630674793,  -372.7927383423058,   53.44437620243161,   34.80280418960241,   80.53191563022143
                 3.1,  -120.4901188515898,   34.67962192518718,   173.4308250648901,   378.0343405289483,   90836.89955260824,   5250018.310278617,   3608896.168709376,  -372.2796367506979,   54.99860100821675,   35.95815021749995,   80.46013388414029
                 3.2,  -120.4901297237631,   34.67962302843061,   179.5663738138974,   377.8671326850447,   90799.69740173637,   5250023.887937162,    3608899.82233982,  -371.7628430581663,   56.55495831858152,   37.11462211191048,   80.40791639275722
                 3.3,  -120.4901411332478,   34.67962418570471,   185.8967691352591,   377.7077815698668,   90762.54709290001,   5250029.621333281,   3608903.591686893,  -371.2428115643675,   58.11317663074717,    38.2727294832406,   80.35298792812596
                 3.4,  -120.4901530825963,    34.6796253978509,   192.4222601968795,   377.5564281350447,   90725.44894434762,   5250035.510614661,   3608907.476968641,   -370.719628884211,   59.67269152793499,   39.43327366397533,    80.2978735702104
                 3.5,  -120.4901655761221,    34.6796266654911,   199.1430978467688,   377.4133488784597,   90688.40326638984,   5250041.555944377,   3608911.478384056,   -370.193495999006,   61.23431573942541,   40.59519685396609,   80.25630493002271
                 3.6,  -120.4901786159677,   34.67962798826612,   206.0595405679196,   377.2787509905162,   90651.41034084461,   5250047.757554186,   3608915.596047014,  -369.6645546889383,   62.79816162665951,   41.75839857926624,   80.21015407747943
                 3.7,  -120.4901922059678,   34.67962936663127,   213.1718476647511,   377.1531429056606,   90614.47043469039,   5250054.115625338,   3608919.830146195,  -369.1332561634375,   64.36351761674155,   42.92400258357799,   80.17741951873872
                 3.8,  -120.4902063475763,   34.67963080140088,   220.4802860431373,   377.0367165649442,   90577.58376540233,   5250060.630323481,   3608924.180907436,  -368.5997239242511,   65.93086431307282,   44.09138568894378,   80.14087838573593
